,SCR area,Factor weight
F1,0.22068852088374993,0.023879805829050926
F2,0.8549031226012501,0.09250558428963757
F3,0.8549031226012501,0.09250558428963757
F4,0.9605692035342406,0.1039392804569419
F5,0.70252098497875,0.07601693393451636
F6,0.9546969783177756,0.10330387088787098
F7,0.84896682384,0.09186324158330096
F8,0.8549031226012501,0.09250558428963757
F9,0.9546969783177756,0.10330387088787098
F10,0.6900114964799999,0.07466333314379714
F11,0.4898745191124999,0.05300732611810063
F12,0.8549031226012501,0.09250558428963757
