"Title","Year","DOI","Link","Abstract"
"Explainable energy consumption and speed prediction in sustainable cities using deep learning","2025","10.1007/s00521-024-10850-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000428187&doi=10.1007%2fs00521-024-10850-7&partnerID=40&md5=b676289e0dc1cd861059eac58c463963","The idea of sustainable cities has drawn a lot of attention due to the quick expansion of metropolitan areas as well as the growing problems brought on by resource scarcity and climate change. Cities that prioritize sustainable practices are those that minimize their negative effects on the environment, maximize resource efficiency, and improve the standard of living for their citizens. Therefore, for sustainable cities, this paper uses the vehicle energy dataset (VED) to estimate travel times and calculate vehicle energy consumption. The dataset contains 12,609,170 road elevation tracks, 12,203,044 speed limit tracks, and 12,281,719 speed limit records with direction. An open-source routing engine called Valhalla is utilized to do a variety of tasks, including finding paths, matching maps, and creating maneuvers based on paths. The three primary stages of the suggested model are data pre-processing, feature extraction, and result interpretation. In the data pre-processing stage, null values are first eliminated and data normalization is implemented. Then, three techniques known as the gated recurrent unit (GRU), recurrent neural network (RNN), and long short-term memory (LSTM) are used to optimize the model. Finally, the results are interpreted through the use of SHAP (SHapley Additive explanations) in explainable artificial intelligence (XAI) techniques. The LSTM model yields the best prediction results, achieving 15.2662 RMSE, 11.7266 MAE, and 0.6696 R2 at 8 batch size, according to the evaluation results. Additional experiments are carried out in batch sizes of 8, 16, 32, and 64.The lowest metrics are produced by batch sizes of 64, while the best metrics are produced by batch sizes of 8. © The Author(s) 2025."
"Examining Ecology–Agriculture–Economy Nexus Shifts to Propose Win–Win–Win Pathways for Sustainable Development in Mountainous Areas: Insights From the Greenest City in China","2025","10.1002/ldr.5462","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001061244&doi=10.1002%2fldr.5462&partnerID=40&md5=0f171e515ccd21528778680c82cd5657","Ecosystem restoration projects (ERPs) are effective methods for reversing land degradation. However, the dynamic responses of the ecology–agriculture–economy nexus to ERPs and socioeconomic development have yet to be systematically analyzed. To address this issue, we adopted an ERP hotspot as a basis for exploring the evolution regimes of sectoral variables and their determinants. ERPs facilitated vegetation restoration and strengthened carbon sequestration and soil retention, whereas grain productivity declined sharply since 2000 because of industrial and planting structure adjustments. Economic growth was accompanied by marked industrial transformation; the dominant role of the primary industry was gradually replaced by that of other industries, with the population and employment structures changing accordingly. Rural population loss weakened the agricultural production capacity, with the promotion of economic crops further degrading the dominant role of grain crops. Such nexus shifts indicated that positive progress in the ecological and economic sectors should be further optimized to reserve sufficient space for agricultural production and industrial development, instead of relying solely on expanding afforestation areas. Notably, the temporary synergic co-evolution of nexus sectors from 2008 to 2022 is not stable because of the low grain self-sufficiency ratio, which might threaten the sustainability of social-ecological systems. Therefore, agricultural production efficiency must be improved through large-scale production and improvements in agricultural production conditions to sustain the grain supply. The nexus perspective enriches our understanding of interlinkages among sectors in different phases, facilitating the formulation of coordinated strategies for regional sustainable development. © 2025 John Wiley & Sons Ltd."
"A Combined Multi-Criteria Decision-Making and Social Cost–Benefit Analysis Approach for Evaluating Sustainable City Logistics Initiatives","2025","10.3390/su17030884","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217748484&doi=10.3390%2fsu17030884&partnerID=40&md5=3ded2c6f5d756ce764a4843a6f5f5c76","Decision making in city logistics (CL) is complex due to the numerous concepts and alternatives, as well as the intricate relationships between measures and effects. This study introduces a novel approach to evaluating urban freight transport (UFT) by combining multi-criteria decision making (MCDM) and social cost–benefit analysis (SCBA). This combination aims to improve decision making for sustainable CL concepts, particularly in reducing externalities in last-mile delivery. The model assesses various CL initiatives and urban consolidation center (UCC) concepts for their impact on UFT externalities. It uses the MCDM for ex ante scenarios assessment and prioritization. Input data were collected through a survey of experts from various sectors, and the Analytic Hierarchy Process (AHP) was applied in the case study of Novi Sad, Serbia. The prioritization highlighted the significance of implementing restrictive regulatory measures, alternative transport modes, and operational optimization within UCC concepts. By estimating capital, operational, and external costs, SCBA was applied to the prioritized UCC concepts, which were then further evaluated using the SCBA outputs. Sensitivity analysis was employed to assess the robustness of the proposed model. This paper offers valuable insights into the potential use of existing tools within a hybrid model to enhance decision making in CL. © 2025 by the authors."
"Factors influencing the purchase intention of ethanol blended fuel in India: a sustainable cities perspective","2025","10.1108/JAMR-03-2024-0082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214378433&doi=10.1108%2fJAMR-03-2024-0082&partnerID=40&md5=c05cc75f6a1d26a681955d65d9447285","Purpose: Understanding consumer behaviour towards ethanol-blended fuel is crucial for assessing the adoption of alternate fuel vehicles (AFVs). By examining factors influencing purchase decisions, such as cost considerations, environmental concerns and perceptions of vehicle performance, researchers can elucidate patterns of consumer acceptance and identify barriers to widespread adoption. Design/methodology/approach: The study uses the theory of planned behaviour (TPB) and stimulus organism response (S-O-R). The current research aims to bridge the gap by focusing on consumers' intention to buy ethanol-blended fuel. Data were collected from 303 survey respondents and analysed using partial least square structural equation modelling (PLS-SEM). Findings: The study finds that adopting motivation, policy incentives, risk perception and sustainable practices significantly influence the intention to purchase ethanol-blended fuel. Surprisingly, cost perception and infrastructure readiness do not have a significant impact on purchase intention. Social implications: The study proposes four innovative policy implications to amplify the adoption of ethanol-blended fuel. These policies are (a) flexible fuel vehicle incentive schemes, (b) renewable fuel mandate and certification, (c) ethanol pricing and infrastructure development policy and (d) ethanol urban mobility and public transportation initiatives. Originality/value: This study provides novel insights into the factors influencing ethanol-blended fuel adoption in India, contributing to the literature on sustainable transportation solutions. © 2024, Emerald Publishing Limited."
"Urban Open Space Systems and Green Cities: History, Heritage, and All That","2025","10.3390/land14030582","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001099219&doi=10.3390%2fland14030582&partnerID=40&md5=df1d94d199756c834f797a2846a3f856","More than half the world’s population live in cities1. According to UN Habitat, we are rapidly approaching the time when five billion people will live in cities, and by 2050 this could be 7.5 billion, with much of the growth concentrated in the global south. The context for this paper is how urban growth is linked to notions of community values which cross-link to concepts of heritage. Urban places are where the majority of the world’s population lives and will increasingly do so. Inextricably linked to this proposition is that urban places are where community memories, identity and sense of place are inherent, and here is the link with heritage. What do these paces mean to us? Are there regional, national and international differences? Parallel with these ideas of urban heritage is the sense of place and attachment people have for green spaces in cities and the incremental loss of green spaces. This prompts the question of how this phenomenon has stimulated scholarly and professional attention on the concept of greening cities. Underpinning the inquiry is an understanding of how urban green growth has become regarded as critical to the well-being of people in urban areas. Central to such concerns is the role of people and their social and cultural values which shape how they see their cities. Notable also is how there has been growing concern for urban conservation since the 1990s and the need to understand cities as people spaces, not just collections of buildings. Discourse on cities as spaces for people has its roots in, and builds on, a paradigm shift in innovative thinking and concepts in the twentieth century which has continued into the twenty-first century. Mindful of this background, the paper opens with a review of the historical background to these concerns on the premise that the past is not always a foreign country2. It then moves into consideration of heritage values and the role of landscape and what we mean by values. This consideration is central to the paper and moves into an overview of the Historic Urban Landscape (HUL) approach as new approaches and tools for urban conservation came into play. © 2025 by the author."
"Unveiling the microclimate: A comprehensive review of tools, techniques, and future directions for sustainable cities","2025","10.1016/j.buildenv.2025.112726","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218875567&doi=10.1016%2fj.buildenv.2025.112726&partnerID=40&md5=621bdac3996b1018da754bae41c14602","Sustainable urban development necessitates a deep understanding of microclimate, the localized atmospheric conditions within a city. This review explores the diverse tools and techniques employed for microclimate assessment, highlighting their strengths and limitations in promoting sustainable cities and environments. This review aims to provide an overview of the various tools and techniques used in microclimate assessment, focusing on their applicability, limitations, and potential for enhancing sustainability in cities. A synopsis of urban microclimate studies post-2010 is included. For the purpose of this review, a total of around 400 academic journals were considered, out of which 137 of the most recent and relevant publications were specifically emphasized and highlighted. It is observed that the number of high-resolution simulation studies focused on microclimates has surged tenfold since 2010. Despite advancements, prevailing approaches to urban microclimates face ongoing challenges elucidated in the literature. The paper proposes several future research directions aimed at enhancing urban planning and design. These include prioritizing Large Eddy Simulation (LES)-based studies for more reliable insights into localized climate patterns, developing hybrid models that combine physics-based and data-driven approaches, integrating detailed remote sensing products into existing urban microclimate models, understanding the impact of air pollution on microclimate conditions, examining rural microclimates, and creating user-friendly tools for city planning. These proposed research directions can significantly advance urban planning and design by fostering innovative approaches to microclimate assessment. © 2025 Elsevier Ltd"
"Toward sustainable cities: Assessing drivers of SDG performance in Italian municipalities","2025","10.1002/sd.3141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199537224&doi=10.1002%2fsd.3141&partnerID=40&md5=74dfc7fdbcb3090f271020ca88302a86","In the context of the 2030 Agenda for Sustainable Development, municipalities are increasingly recognized as pivotal actors in advancing the Sustainable Development Goals (SDGs). Their significant contributions have also garnered attention in academic literature. However, only a limited number of studies have investigated the integration of the SDGs into the visions and strategies of municipalities, as well as the factors driving their efforts toward the SDGs. Therefore, this study aims to fill this important gap by examining, under the lens of stakeholder theory, the SDG performance of Italian municipalities and the drivers of these performance levels. The results reveal a delay in the progress toward achieving the SDGs. Furthermore, they demonstrate a negative impact of population size on the SDG performance of Italian municipalities, alongside positive effects of multiculturalism, location in the northern regions, and the level of tourism. The results significantly contribute to academic literature and hold important practical implications. © 2024 ERP Environment and John Wiley & Sons Ltd."
"Quantifying urban heat island using multiple data sources for planning a sustainable city in an arid climatic zone","2025","10.1007/s10668-023-04162-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000427495&doi=10.1007%2fs10668-023-04162-4&partnerID=40&md5=9686e4b3b1cbf2ea137deec361787941","The effects of urbanization on cities have been well documented around the world. The term ""urban heat island"" (UHI) refers to one of several consequences of urbanization. The intensity of UHI is quantified in Muscat and its neighbouring sub-cities during 2019–2020. These sub-cities have seen a rapid increase in inhabitants over the last decade ranging between 15.1 and 107.4%. Land surface and air temperature were measured to quantify UHI under different land use types. The study found that all the selected sub-cities have shown variations in UHI influenced by land surface temperature, which ranged from 0.24 to 6.74 °C. In general, the measured land surface temperature indicated maximum UHI values in both winters (UHI = 6.74 °C) and summer (UHI = 5.07 °C) seasons. While measured air temperature shows the formation of UHI in the winter season in all sub-cities with a maximum value of 4.65 °C. In contrast, in summer it occurs only in two sub-cities with values of 0.65 °C and 4.17 °C at the night. Analyzing meteorological and remotely sensed data emphasizes findings from field measurements with the formation of UHI in all sub-cities in winter with values ranging between 0.43 and 5.37 °C, meanwhile, its absence in most sub-cities during the summer. There are significant differences (P < 0.05) among the land use types with the lowest mean value in greenery space (21.70 ± 0.59 °C). The mean land surface temperature with respect to land cover type follow the pattern of road > pavement > bare soil > vegetation except for the daytime in summer, clearly demonstrates the influence of vegetation in reducing UHI effect. This was also verified by the evidence that the air temperature above the vegetation cover were reduced by 1.3 to 2.1 °C and 2.6 to 3.1 °C during day and nighttime respectively. Additionally, there was a moderate correlation between land surface and air temperature in the winter (R2 = 0.58) compared to the summer (R2 = 0.29). Quantification of UHI is important for city planners to ensure sustainable urbanization and take into account land use and land cover changes in the future to build resilient cities. © The Author(s), under exclusive licence to Springer Nature B.V. 2023."
"AN ANALYSIS OF SOCIAL MEDIA'S AI-BASED IMPACT ON POLICYMAKERS TOWARDS SUSTAINABLE CITIES ALIGNED WITH THE SUSTAINABLE DEVELOPMENT GOAL 11","2025","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217750322&partnerID=40&md5=b1cc73a3a0e8c11a6b56b1697c643046","Among the 17 UN sustainable development goals (SDGs), SDG 11 advocates for safer and more resilient urban models to create sustainable cities and human settlements. To achieve sustainable cities, sustainable practices must be integrated into physical infrastructure and digital realms, including social media, which has become an essential aspect of modern communication. This study aims to examine how artificial intelligence-driven social media influences policymakers' decisions and actions to develop sustainable cities, in alignment with SDG 11. The methodology involves mapping SDG narratives to develop a reliable and efficient model to enhance sustainability during implementation. In addition, a questionnaire was administered to reach a wider audience with the SDGs, and the results were analysed. Mixed methods approaches, combining qualitative and quantitative data analysis, examine the relationship between social media and sustainable city development has been adopted. Policies can leverage social media effectively to advocate sustainable urban development, thus enhancing their outreach and impact. In addition to these concerns, social media has been associated with accuracy and reliability, and echo chambers have reinforced existing biases. Only 3.8% of respondents believe social media platforms do not use AI. In comparison, surveys show that 38.5% believe they only use it to a limited extent, compared to 57.7% who believe it is extensively used. While social media still faces challenges, it remains a powerful tool for fostering dialogue, promoting sustainability, and mobilizing support. To address the associated challenges, social media platforms must be used responsibly and ethically, in alignment with sustainable development principles. © School of Engineering, Taylor’s University."
"Enhancing urban design performance through parametric analysis: Insights from the Green City of Ben Guerir, Morocco","2025","10.1016/j.jum.2024.11.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209242640&doi=10.1016%2fj.jum.2024.11.001&partnerID=40&md5=f05ca71ee194b3e5ee60d61d552e5a29","Effectively assisting urban designers in developing resilient urban areas requires innovative approaches. Moreover, using spatial analysis is necessary to assess the effectiveness of the conceptual design depending on different specifications. Even though these concepts are closely related, they have been done separately. To overcome these limits, in this paper, a decision tool is created using the Grasshopper for Rhinoceros 3D software as a core component of a flexible system to generate the urban structure and optimize land use. The tool includes several processes for analyzing urban distribution using spatial analysis, such as accessibility and visibility. The approach was systematically applied and evaluated in a simulated environment using BenGuerir's Green City as a case study. Therefore, it established an efficient infrastructure network facilitating seamless pedestrian movement. It also allows the creation of diverse building types in key locations to suit people's requirements based on urban planning rules to sustainably conserve the area by balancing resources, activities, and people in space. © 2024 The Authors"
